Transaction ID,Date,Description,Amount,Risk Level,Risk Score,Triggered Rules
TX1001,3/1/2025, 9:30:45 AM,"Paycheck Deposit",3500,Medium,5,"Large Transaction Amount; New Merchant Category"
TX1002,3/2/2025, 11:15:22 AM,"Grocery Store",-125.5,Low,2,"New Merchant Category"
TX1003,3/3/2025, 2:20:10 PM,"Electric Bill",-89.99,Low,2,"New Merchant Category"
TX1004,3/4/2025, 6:35:41 PM,"Dinner Restaurant",-78.5,Low,2,"New Merchant Category"
TX1005,3/5/2025, 8:45:32 AM,"Gas Station",-45,Low,2,"New Merchant Category"
TX1006,3/7/2025, 12:30:15 PM,"Phone Bill",-85.99,Low,0,""
TX1007,3/7/2025, 3:22:18 PM,"Coffee Shop",-4.75,Medium,6,"Geographical Velocity; Unusual Penny Amounts"
TX1008,3/8/2025, 9:15:00 AM,"Transfer to Savings",-500,Low,2,"New Merchant Category"
TX1009,3/9/2025, 2:10:45 PM,"Department Store",-89.95,Low,2,"New Merchant Category"
TX1010,3/10/2025, 4:30:22 PM,"Monthly Subscription",-14.99,Low,2,"New Merchant Category"
TX1011,3/12/2025, 3:22:45 AM,"Online Purchase",-899.99,Low,4,"Unusual Transaction Hour; New Merchant Category"
TX1012,3/12/2025, 3:45:12 AM,"Online Purchase",-129.37,Medium,5,"Unusual Transaction Hour; Unusual Penny Amounts; New Merchant Category"
TX1013,3/12/2025, 7:10:05 PM,"Grocery Store",-68.24,Low,1,"Unusual Penny Amounts"
TX1014,3/13/2025, 1:30:45 PM,"ATM Withdrawal",-200,Low,2,"New Merchant Category"
TX1015,3/14/2025, 3:30:45 PM,"Pharmacy",-32.87,Low,3,"Unusual Penny Amounts; New Merchant Category"
TX1016,3/14/2025, 4:10:22 PM,"Gas Station",-48.5,Low,0,""
TX1017,3/15/2025, 10:15:10 AM,"Paycheck Deposit",3500,Low,3,"Large Transaction Amount"
TX1018,3/15/2025, 4:25:45 PM,"Furniture Store",-1455.87,Low,3,"Unusual Penny Amounts; New Merchant Category"
TX1019,3/16/2025, 12:30:22 PM,"Coffee Shop",-5.25,Low,1,"Unusual Penny Amounts"
TX1020,3/16/2025, 12:45:18 PM,"Books & Stationery",-45.98,Low,1,"Unusual Penny Amounts"
TX1021,3/16/2025, 1:05:05 PM,"Fast Food",-12.49,Low,1,"Unusual Penny Amounts"
TX1022,3/16/2025, 1:30:10 PM,"Department Store",-89.95,Low,0,""
TX1023,3/16/2025, 2:15:45 PM,"Electronics Store",-299.99,Low,0,""
TX1024,3/17/2025, 11:30:22 AM,"Insurance Premium",-150,Low,2,"New Merchant Category"
TX1025,3/18/2025, 10:15:45 AM,"Transfer from Savings",1000,Low,0,""
TX1026,3/19/2025, 2:30:22 PM,"Internet Bill",-79.99,Low,0,""
TX1027,3/20/2025, 10:15:45 AM,"Gas Station",-52.37,Low,1,"Unusual Penny Amounts"
